	UF	televisao por assinatura	televisao com recepcao de sinal digital de tv abertaa	V02270	rede celular 3G ou 4G	conexao discada	banda larga	rendimento mensal domiciliar per capita
1030	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1033	23	3.0	3.0	1	2.0	4.0	2.0	3.0
1034	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1038	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1047	23	3.0	3.0	1	2.0	4.0	4.0	6.0
1053	23	3.0	5.0	1	2.0	4.0	2.0	3.0
1055	23	3.0	3.0	1	2.0	4.0	2.0	5.0
1060	23	3.0	3.0	0	2.0	4.0	2.0	4.0
1061	23	3.0	3.0	0	2.0	4.0	2.0	4.0
1063	23	3.0	3.0	1	4.0	4.0	2.0	4.0
1064	23	3.0	1.0	1	4.0	4.0	2.0	2.0
1067	23	3.0	1.0	0	2.0	4.0	2.0	4.0
1069	23	3.0	3.0	1	2.0	4.0	2.0	4.0
1070	23	3.0	3.0	1	4.0	4.0	2.0	4.0
1071	23	3.0	3.0	1	2.0	4.0	4.0	99.0
1074	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1076	23	1.0	3.0	0	2.0	4.0	2.0	3.0
1077	23	1.0	1.0	2	2.0	4.0	2.0	7.0
1078	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1081	23	1.0	3.0	2	4.0	4.0	2.0	3.0
1082	23	3.0	3.0	0	2.0	2.0	4.0	3.0
1083	23	1.0	3.0	1	4.0	4.0	2.0	3.0
1084	23	3.0	1.0	1	2.0	4.0	4.0	7.0
1086	23	3.0	1.0	1	4.0	4.0	2.0	4.0
1089	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1091	23	1.0	1.0	0	2.0	4.0	4.0	4.0
1092	23	3.0	3.0	0	2.0	4.0	2.0	1.0
1097	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1100	23	3.0	3.0	0	2.0	4.0	4.0	2.0
1103	23	3.0	3.0	2	2.0	4.0	2.0	5.0
1104	23	1.0	1.0	1	2.0	4.0	2.0	2.0
1106	23	1.0	3.0	1	4.0	4.0	2.0	4.0
1108	23	3.0	3.0	1	2.0	4.0	4.0	3.0
1109	23	3.0	3.0	1	2.0	4.0	4.0	3.0
1114	23	3.0	3.0	0	4.0	4.0	2.0	4.0
1116	23	3.0	3.0	2	2.0	4.0	2.0	6.0
1120	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1123	23	3.0	3.0	2	4.0	4.0	2.0	5.0
1127	23	3.0	3.0	0	4.0	4.0	2.0	3.0
1145	23	1.0	1.0	1	2.0	2.0	2.0	2.0
1149	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1153	23	3.0	3.0	0	2.0	4.0	4.0	2.0
1155	23	3.0	3.0	0	2.0	4.0	4.0	2.0
1156	23	3.0	3.0	1	2.0	4.0	4.0	5.0
1157	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1158	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1160	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1161	23	1.0	1.0	1	2.0	4.0	2.0	5.0
1165	23	3.0	1.0	1	2.0	4.0	2.0	4.0
1166	23	3.0	3.0	1	2.0	4.0	2.0	3.0
1168	23	3.0	3.0	0	2.0	4.0	4.0	3.0
1169	23	3.0	3.0	0	2.0	4.0	2.0	3.0
1170	23	3.0	3.0	1	2.0	4.0	4.0	4.0
1171	23	3.0	3.0	0	2.0	4.0	4.0	4.0
1172	23	1.0	1.0	1	2.0	4.0	4.0	6.0
1175	23	1.0	3.0	1	2.0	4.0	2.0	4.0
1176	23	3.0	3.0	1	2.0	4.0	2.0	4.0
1177	23	3.0	3.0	1	2.0	4.0	4.0	6.0
1179	23	3.0	1.0	1	4.0	4.0	2.0	4.0
